State_Name,County_Name
Alabama,Clay
Alabama,Marengo
Alabama,DeKalb
Alabama,Cherokee
Alabama,Hale
Alabama,Perry
Alabama,Colbert
Alabama,Greene
Alabama,Butler
Alabama,Lee
Alabama,Mobile
Alabama,Fayette
Alabama,Chambers
Alabama,Tuscaloosa
Alabama,Wilcox
Alabama,Marshall
Alabama,Escambia
Alabama,Limestone
Alabama,Blount
Alabama,Monroe
Alabama,Marion
Alabama,Lowndes
Alabama,Coosa
Alabama,Pike
Alabama,Sumter
Alabama,Winston
Alabama,Talladega
Alabama,Jackson
Alabama,Baldwin
Alabama,Bullock
Alabama,Autauga
Alabama,Macon
Alabama,St. Clair
Alabama,Choctaw
Alabama,Cullman
Alabama,Shelby
Alabama,Dallas
Alabama,Pickens
Alabama,Lauderdale
Alabama,Cleburne
Alabama,Barbour
Alabama,Geneva
Alabama,Dale
Alabama,Tallapoosa
Alabama,Clarke
Alabama,Houston
Alabama,Washington
Alabama,Madison
Alabama,Crenshaw
Alabama,Calhoun
Alabama,Lawrence
Alabama,Morgan
Alabama,Lamar
Alabama,Russell
Alabama,Franklin
Alabama,Conecuh
Alabama,Elmore
Alabama,Jefferson
Alabama,Walker
Alabama,Randolph
Alabama,Montgomery
Alabama,Bibb
Alabama,Etowah
Alabama,Chilton
Alabama,Coffee
Alabama,Covington
Alabama,Henry
Alaska,Ketchikan Gateway
Alaska,Northwest Arctic
Alaska,Sitka
Alaska,Yukon-Koyukuk
Alaska,Anchorage
Alaska,Prince of Wales-Hyder
Alaska,Petersburg
Alaska,Wrangell
Alaska,Juneau
Alaska,Kenai Peninsula
Alaska,Denali
Alaska,Southeast Fairbanks
Alaska,Fairbanks North Star
Alaska,Haines
Alaska,Bethel
Alaska,Lake and Peninsula
Alaska,Bristol Bay
Alaska,Dillingham
Alaska,Matanuska-Susitna
Alaska,Aleutians East
Alaska,Kusilvak
Alaska,North Slope
Alaska,Nome
Alaska,Aleutians West
Alaska,Kodiak Island
Alaska,Yakutat
Alaska,Copper River
Alaska,Chugach
Alaska,Skagway
Alaska,Hoonah-Angoon
Arizona,Yuma
Arizona,Pinal
Arizona,Navajo
Arizona,Greenlee
Arizona,Maricopa
Arizona,Pima
Arizona,Cochise
Arizona,Coconino
Arizona,Gila
Arizona,Graham
Arizona,Mohave
Arizona,Yavapai
Arizona,La Paz
Arizona,Santa Cruz
Arizona,Apache
Arkansas,Stone
Arkansas,Polk
Arkansas,Independence
Arkansas,Lonoke
Arkansas,Clark
Arkansas,Fulton
Arkansas,Logan
Arkansas,Miller
Arkansas,Arkansas
Arkansas,Carroll
Arkansas,Van Buren
Arkansas,Johnson
Arkansas,Searcy
Arkansas,Garland
Arkansas,Sevier
Arkansas,Jefferson
Arkansas,Lincoln
Arkansas,Randolph
Arkansas,Izard
Arkansas,Scott
Arkansas,Perry
Arkansas,Craighead
Arkansas,Cleburne
Arkansas,Hot Spring
Arkansas,Columbia
Arkansas,Ouachita
Arkansas,Yell
Arkansas,Monroe
Arkansas,Mississippi
Arkansas,Washington
